id,label
1,1
2,0
3,0
4,1
5,1
6,1
7,0
8,0
9,0
10,0
11,1
12,0
13,1
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,1
23,1
24,0
25,1
26,1
27,1
28,1
29,1
30,0
31,1
32,0
33,1
34,1
35,1
36,0
37,1
38,1
39,1
40,0
41,0
42,0
43,1
44,0
45,1
46,0
47,1
48,0
49,1
50,1
51,0
52,0
53,1
54,0
55,1
56,0
57,0
58,0
59,0
60,1
61,0
62,0
63,0
64,0
65,0
66,1
67,0
68,1
69,1
70,0
71,0
72,0
73,1
74,1
75,0
76,1
77,0
78,1
79,1
80,0
81,1
82,0
83,0
84,0
85,1
86,0
87,0
88,1
89,0
90,0
91,0
92,0
93,0
94,1
95,0
96,0
97,0
98,0
99,0
100,1
101,0
102,0
103,0
104,0
105,1
106,1
107,1
108,1
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,1
119,0
120,0
121,1
122,1
123,0
124,1
125,0
126,1
127,1
128,0
129,0
130,1
131,0
132,1
133,0
134,1
135,0
136,0
137,1
138,1
139,0
140,1
141,1
142,0
143,1
144,0
145,1
146,1
147,0
148,0
149,0
150,0
151,0
152,1
153,0
154,0
155,0
156,1
157,0
158,0
159,0
160,1
161,0
162,0
163,0
164,1
165,0
166,1
167,0
168,0
169,0
170,0
171,0
172,1
173,0
174,0
175,1
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,1
185,1
186,1
187,1
188,1
189,1
190,0
191,1
192,0
193,0
194,0
195,1
196,0
197,0
198,0
199,1
200,1
201,0
202,1
203,1
204,0
205,0
206,0
207,1
208,0
209,1
210,0
211,0
212,1
213,1
214,1
215,0
216,1
217,1
218,0
219,0
220,0
221,0
222,0
223,1
224,0
225,0
226,1
227,0
228,1
229,0
230,0
231,0
232,0
233,0
234,1
235,0
236,0
237,0
238,0
239,1
240,0
241,0
242,1
243,0
244,0
245,1
246,1
247,0
248,0
249,0
250,1
251,0
252,1
253,0
254,0
255,1
256,0
257,1
258,1
259,1
260,0
261,1
262,0
263,0
264,0
265,0
266,0
267,0
268,1
269,0
270,0
271,1
272,0
273,0
274,1
275,0
276,1
277,0
278,1
279,1
280,0
281,0
282,0
283,0
284,1
285,1
286,1
287,0
288,0
289,0
290,0
291,1
292,0
293,0
294,0
295,1
296,0
297,1
298,1
299,0
300,0
301,1
302,0
303,0
304,1
305,1
306,0
307,0
308,0
309,0
310,0
311,1
312,0
313,1
314,1
315,0
316,0
317,0
318,1
319,1
320,0
321,0
322,0
323,1
324,1
325,0
326,0
327,0
328,0
329,0
330,1
331,1
332,0
333,0
334,0
335,1
336,1
337,1
338,0
339,1
340,0
341,1
342,0
343,0
344,0
345,1
346,1
347,1
348,1
349,0
350,0
351,1
352,1
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,1
364,0
365,0
366,0
367,0
368,1
369,0
370,0
371,0
372,0
373,0
374,1
375,1
376,0
377,1
378,0
379,0
380,1
381,0
382,1
383,0
384,1
385,1
386,1
387,0
388,0
389,0
390,1
391,1
392,0
393,0
394,0
395,0
396,0
397,1
398,0
399,1
400,1
401,0
402,0
403,0
404,0
405,0
406,0
407,1
408,1
409,0
410,0
411,1
412,1
413,0
414,0
415,0
416,0
417,0
418,1
419,1
420,1
421,0
422,1
423,0
424,0
425,1
426,0
427,0
428,1
429,0
430,1
431,1
432,0
433,1
434,1
435,1
436,0
437,1
438,1
439,1
440,1
441,0
442,0
443,1
444,1
445,1
446,1
447,0
448,0
449,0
450,1
451,0
452,0
453,0
454,0
455,1
456,0
457,0
458,0
459,0
460,0
461,1
462,0
463,1
464,0
465,1
466,0
467,0
468,1
469,0
470,0
471,1
472,0
473,1
474,1
475,0
476,0
477,0
478,0
479,0
480,1
481,0
482,0
483,1
484,1
485,1
486,0
487,0
488,1
489,0
490,0
491,1
492,1
493,0
494,0
495,1
496,1
497,1
498,0
499,0
500,0
501,0
502,0
503,0
504,1
505,0
506,1
507,0
508,0
509,0
510,1
511,0
512,1
513,1
514,1
515,0
516,0
517,0
518,1
519,1
520,1
521,1
522,1
523,1
524,0
525,1
526,1
527,1
528,0
529,1
530,0
531,1
532,1
533,0
534,1
535,1
536,0
537,0
538,0
539,0
540,0
541,0
542,1
543,1
544,0
545,0
546,0
547,1
548,1
549,0
550,1
551,0
552,1
553,0
554,0
555,0
556,0
557,0
558,0
559,1
560,0
561,0
562,0
563,1
564,0
565,1
566,1
567,0
568,0
569,0
570,1
571,0
572,0
